行政区划代码	行政区划名称	行政区划拼音	上级行政区划代码
110000	北京市	bjs	
110100	北京市	bjs	110000
110101	东城区	dcq	110100
110102	西城区	xcq	110100
110103	崇文区	cwq	110100
110104	宣武区	xwq	110100
110105	朝阳区	cyq	110100
110106	丰台区	ftq	110100
110107	石景山区	sjsq	110100
110108	海淀区	hdq	110100
110109	门头沟区	mtgq	110100
110111	房山区	fsq	110100
110112	通州区	tzq	110100
110113	顺义区	syq	110100
110114	昌平区	cpq	110100
110115	大兴区	dxq	110100
110116	怀柔区	hrq	110100
110117	平谷区	pgq	110100
110228	密云县	myx	110100
110229	延庆县	yqx	110100
120000	天津市	tjs	
120100	天津市	tjs	120000
120101	和平区	hpq	120100
120102	河东区	hdq	120100
120103	河西区	hxq	120100
120104	南开区	nkq	120100
120105	河北区	hbq	120100
120106	红桥区	hqq	120100
120107	塘沽区	tgq	120100
120108	汉沽区	hgq	120100
120109	大港区	dgq	120100
120110	东丽区	dlq	120100
120111	西青区	xqq	120100
120112	津南区	jnq	120100
120113	北辰区	bcq	120100
120114	武清区	wqq	120100
120115	宝坻区	bcq	120100
120221	宁河县	nhx	120100
120223	静海县	jhx	120100
120225	蓟县	jx	120100
130000	河北省	hbs	
130100	石家庄市	sjzs	130000
130102	长安区	caq	130100
130103	桥东区	qdq	130100
130104	桥西区	qxq	130100
130105	新华区	xhq	130100
130107	井陉矿区	jxkq	130100
130108	裕华区	yhq	130100
130121	井陉县	jxx	130100
130123	正定县	zdx	130100
130124	栾城县	lcx	130100
130125	行唐县	xtx	130100
130126	灵寿县	lsx	130100
130127	高邑县	gyx	130100
130128	深泽县	szx	130100
130129	赞皇县	zhx	130100
130130	无极县	wjx	130100
130131	平山县	psx	130100
130132	元氏县	ysx	130100
130133	赵县	zx	130100
130181	辛集市	xjs	130100
130182	藁城市	gcs	130100
130183	晋州市	jzs	130100
130184	新乐市	xls	130100
130185	鹿泉市	lqs	130100
130200	唐山市	tss	130000
130202	路南区	lnq	130200
130203	路北区	lbq	130200
130204	古冶区	gyq	130200
130205	开平区	kpq	130200
130207	丰南区	fnq	130200
130208	丰润区	frq	130200
130223	滦县	lx	130200
130224	滦南县	lnx	130200
130225	乐亭县	ltx	130200
130227	迁西县	qxx	130200
130229	玉田县	ytx	130200
130230	唐海县	thx	130200
130281	遵化市	zhs	130200
130283	迁安市	qas	130200
130300	秦皇岛市	qhds	130000
130302	海港区	hgq	130300
130303	山海关区	shgq	130300
130304	北戴河区	bdhq	130300
130305	经济技术开发区	jjjskfq	130300
130321	青龙满族自治县	qlmzzzx	130300
130322	昌黎县	clx	130300
130323	抚宁县	fnx	130300
130324	卢龙县	llx	130300
130400	邯郸市	hds	130000
130402	邯山区	hsq	130400
130403	丛台区	ctq	130400
130404	复兴区	fxq	130400
130406	峰峰矿区	ffkq	130400
130421	邯郸县	hdx	130400
130423	临漳县	lzx	130400
130424	成安县	cax	130400
130425	大名县	dmx	130400
130426	涉县	sx	130400
130427	磁县	cx	130400
130428	肥乡县	fxx	130400
130429	永年县	ynx	130400
130430	邱县	qx	130400
130431	鸡泽县	jzx	130400
130432	广平县	gpx	130400
130433	馆陶县	gtx	130400
130434	魏县	wx	130400
130435	曲周县	qzx	130400
130481	武安市	was	130400
130500	邢台市	xts	130000
130502	桥东区	qdq	130500
130503	桥西区	qxq	130500
130521	邢台县	xtx	130500
130522	临城县	lcx	130500
130523	内丘县	nqx	130500
130524	柏乡县	bxx	130500
130525	隆尧县	lyx	130500
130526	任县	rx	130500
130527	南和县	nhx	130500
130528	宁晋县	njx	130500
130529	巨鹿县	jlx	130500
130530	新河县	xhx	130500
130531	广宗县	gzx	130500
130532	平乡县	pxx	130500
130533	威县	wx	130500
130534	清河县	qhx	130500
130535	临西县	lxx	130500
130581	南宫市	ngs	130500
130582	沙河市	shs	130500
130600	保定市	bds	130000
130602	新市区	xsq	130600
130603	北市区	bsq	130600
130604	南市区	nsq	130600
130621	满城县	mcx	130600
130622	清苑县	qyx	130600
130623	涞水县	lsx	130600
130624	阜平县	fpx	130600
130625	徐水县	xsx	130600
130626	定兴县	dxx	130600
130627	唐县	tx	130600
130628	高阳县	gyx	130600
130629	容城县	rcx	130600
130630	涞源县	lyx	130600
130631	望都县	wdx	130600
130632	安新县	axx	130600
130633	易县	yx	130600
130634	曲阳县	qyx	130600
130635	蠡县	lx	130600
130636	顺平县	spx	130600
130637	博野县	byx	130600
130638	雄县	xx	130600
130681	涿州市	zzs	130600
130682	定州市	dzs	130600
130683	安国市	ags	130600
130684	高碑店市	gbds	130600
130700	张家口市	zjks	130000
130702	桥东区	qdq	130700
130703	桥西区	qxq	130700
130705	宣化区	xhq	130700
130706	下花园区	xhyq	130700
130721	宣化县	xhx	130700
130722	张北县	zbx	130700
130723	康保县	kbx	130700
130724	沽源县	gyx	130700
130725	尚义县	syx	130700
130726	蔚县	wx	130700
130727	阳原县	yyx	130700
130728	怀安县	hax	130700
130729	万全县	wqx	130700
130730	怀来县	hlx	130700
130731	涿鹿县	zlx	130700
130732	赤城县	ccx	130700
130733	崇礼县	clx	130700
130800	承德市	cds	130000
130802	双桥区	sqq	130800
130803	双滦区	slq	130800
130804	鹰手营子矿区	ysyzkq	130800
130821	承德县	cdx	130800
130822	兴隆县	xlx	130800
130823	平泉县	pqx	130800
130824	滦平县	lpx	130800
130825	隆化县	lhx	130800
130826	丰宁满族自治县	fnmzzzx	130800
130827	宽城满族自治县	kcmzzzx	130800
130828	围场满族蒙古族自治县	wcmzmgzzzx	130800
130900	沧州市	czs	130000
130902	新华区	xhq	130900
130903	运河区	yhq	130900
130921	沧县	cx	130900
130922	青县	qx	130900
130923	东光县	dgx	130900
130924	海兴县	hxx	130900
130925	盐山县	ysx	130900
130926	肃宁县	snx	130900
130927	南皮县	npx	130900
130928	吴桥县	wqx	130900
130929	献县	xx	130900
130930	孟村回族自治县	mchzzzx	130900
130981	泊头市	bts	130900
130982	任丘市	rqs	130900
130983	黄骅市	hhs	130900
130984	河间市	hjs	130900
131000	廊坊市	lfs	130000
131002	安次区	acq	131000
131003	广阳区	gyq	131000
131022	固安县	gax	131000
131023	永清县	yqx	131000
